skill_name,mention_count
大模型,8238
Python,5562
深度学习,4694
人工智能,4239
Agent,4110
C++,3554
RAG,3107
机器学习,3031
PyTorch,2236
微调,2169
图像处理,1931
TensorFlow,1884
多模态,1821
算法开发,1761
架构设计,1730
Java,1658
模型训练,1654
机器视觉,1502
计算机视觉,1377
Linux,1341
数据分析,1336
LangChain,1262
性能优化,1188
SQL,1142
目标检测,1108
控制算法,1078
算法设计,1070
AI Agent,1070
强化学习,1054
OpenCV,1012
Transformer,995
大语言模型,968
视觉算法,922
Docker,870
ROS,793
模型微调,782
模型部署,776
GPT,774
Git,715
C#,625
知识图谱,624
自然语言处理,577
系统设计,575
Go,565
python,522
MySQL,514
TensorRT,510
特征工程,506
图像识别,470
LlamaIndex,463
LoRA,447
数据挖掘,436
Milvus,414
MATLAB,383
模型推理,383
Redis,375
Matlab,374
ONNX,367
AIGC,353
CUDA,310
OCR,310
Pytorch,289
PostgreSQL,267
go,258
K8s,244
Kubernetes,242
Simulink,240
Spark,211
Tensorflow,207
Spring Boot,199
模型评估,186
pytorch,174
数字信号处理,160
通义千问,160
Kafka,158
语音识别,155
BERT,155
自动控制,146
JavaScript,137
TypeScript,136
opencv,132
matlab,131
c++,131
ASR,131
Hadoop,131
FAISS,129
linux,128
推荐系统,123
嵌入式开发,121
agent,117
MongoDB,116
文心一言,113
Shell,111
Flink,108
结构设计,101
JAVA,101
tensorflow,99
Elasticsearch,92
信息抽取,92
AIAgent,87
TTS,87
java,85
Oracle,82
SpringBoot,72
.NET,63
Opencv,58
Faiss,55
Langchain,54
ros,50
Rust,46
transformer,45
shell,44
langchain,42
SQL Server,40
GO,39
git,38
docker,37
simulink,31
搜索推荐,31
语音合成,31
c#,28
K8S,27
rag,26
SolidWorks,26
Rag,25
cuda,24
mysql,22
spark,19
Mysql,18
k8s,18
redis,18
PYTHON,17
sql,16
openCV,15
.net,15
Bert,13
AI agent,12
Ros,12
ElasticSearch,11
milvus,11
LORA,11
Sql,10
lora,10
Lora,10
.Net,9
gpt,9
hadoop,9
kafka,9
onnx,9
ocr,9
Cuda,9
LLamaIndex,8
tensorrt,8
faiss,7
bert,7
tensorRT,7
MySql,7
Solidworks,7
oracle,7
rust,6
SQLServer,6
pyTorch,6
langChain,6
LINUX,6
flink,5
MysQL,5
PostgresQL,5
Llamaindex,5
llamaindex,5
SQLSERVER,5
asr,5
springboot,5
Postgresql,5
LoRa,5
OpenCv,5
Springboot,4
Typescript,4
MYSQL,4
GIT,4
SIMULINK,4
OPENCV,4
Spring boot,3
tts,3
postgreSQL,3
kubernetes,3
PyThon,3
llamaIndex,2
mongodb,2
Javascript,2
TensorFlOW,2
ai agent,2
AGENT,2
SqlServer,2
Sqlserver,2
javascript,2
SQLserver,2
sql server,2
elasticsearch,2
PYthon,2
TransFormer,2
SHELL,2
solidworks,2
MatLab,2
TRANSFORMER,2
aigc,2
typescript,1
GpT,1
SOLIDWORKS,1
mySQL,1
SQL server,1
gO,1
TensOrRT,1
MilvuS,1
opencV,1
ORACLE,1
LLaMAIndex,1
AIagent,1
tensorFlow,1
TensorRt,1
Onnx,1
LInux,1
OpencV,1
Tensorrt,1
postgresql,1
Gpt,1
