skill_name,mention_count
大模型,830
Python,616
深度学习,582
人工智能,507
Agent,451
C++,406
机器学习,367
RAG,314
PyTorch,259
算法开发,234
多模态,226
图像处理,220
TensorFlow,218
微调,213
模型训练,196
架构设计,191
Java,176
计算机视觉,175
机器视觉,162
目标检测,161
Linux,146
AI Agent,145
数据分析,144
性能优化,141
算法设计,135
视觉算法,126
OpenCV,124
Transformer,120
SQL,116
大语言模型,110
LangChain,109
强化学习,105
模型部署,102
ROS,90
Docker,86
控制算法,85
C#,84
模型微调,76
python,75
Git,74
知识图谱,67
Go,66
GPT,62
TensorRT,62
特征工程,56
数据挖掘,52
系统设计,49
LlamaIndex,48
图像识别,48
MATLAB,47
模型推理,46
自然语言处理,45
MySQL,44
Milvus,43
CUDA,43
ONNX,42
LoRA,41
OCR,37
AIGC,35
Matlab,34
Redis,33
go,32
PostgreSQL,25
linux,25
Kubernetes,24
Spark,24
Pytorch,23
Tensorflow,21
Simulink,21
模型评估,21
K8s,20
BERT,20
Hadoop,20
数字信号处理,20
java,18
JavaScript,18
opencv,18
Spring Boot,17
pytorch,17
JAVA,17
Shell,16
嵌入式开发,16
ASR,14
agent,14
matlab,14
c++,14
语音识别,13
推荐系统,13
MongoDB,13
通义千问,12
AIAgent,12
自动控制,12
Kafka,11
TypeScript,10
Elasticsearch,9
Flink,9
信息抽取,8
FAISS,8
.NET,8
Oracle,8
文心一言,7
TTS,7
结构设计,7
K8S,7
shell,7
langchain,7
Opencv,7
tensorflow,7
Rust,6
SpringBoot,6
GO,6
mysql,6
docker,5
sql,5
Langchain,5
语音合成,4
SQL Server,4
rag,4
git,4
LINUX,4
Rag,3
Bert,3
MYSQL,3
k8s,3
Faiss,3
spark,3
redis,3
c#,3
lora,2
Springboot,2
cuda,2
transformer,2
kafka,2
Lora,2
LORA,2
ros,2
SolidWorks,2
openCV,2
搜索推荐,2
flink,2
milvus,2
rust,2
simulink,2
bert,1
tensorrt,1
GIT,1
Ros,1
ElasticSearch,1
Solidworks,1
OPENCV,1
Spring boot,1
hadoop,1
springboot,1
AIAGENT,1
ocr,1
.Net,1
SQLServer,1
LoRa,1
tts,1
SHELL,1
MySql,1
onnx,1
tensorRT,1
PyThon,1
TransFormer,1
PYTHON,1
spring boot,1
OpenCv,1
OpencV,1
ORACLE,1
pyTorch,1
Mysql,1
